discrete,segment,set,expectdiscrete,expectsegment,expectset
0.00969903,0.107089,0.0976302,0.979602,0.983274,0.986065
0.00970201,0.107098,0.0976042,0.979903,0.983357,0.985802
0.00968532,0.10697,0.0976179,0.978218,0.982178,0.985941
0.00966896,0.106766,0.097408,0.976565,0.980309,0.983821
0.00972022,0.106942,0.0976252,0.981742,0.981919,0.986015
0.00974193,0.10699,0.0976574,0.983935,0.982361,0.986339
0.0097821,0.107084,0.0977549,0.987992,0.983228,0.987325
0.00976544,0.107186,0.0977946,0.98631,0.984165,0.987725
0.00976761,0.107129,0.0978058,0.986529,0.983639,0.987838
0.00979727,0.107146,0.0978075,0.989524,0.983796,0.987856
0.00981729,0.107263,0.0979365,0.991546,0.984869,0.989159
0.00979191,0.10727,0.097847,0.988983,0.98493,0.988255
0.00975806,0.107383,0.0978573,0.985564,0.985974,0.988359
0.00978674,0.107362,0.0979205,0.988461,0.98578,0.988997
0.00981493,0.107403,0.0979563,0.991308,0.986154,0.989359
0.00980784,0.107365,0.0979132,0.990592,0.985802,0.988924
0.00977502,0.10743,0.0979571,0.987277,0.986406,0.989366
0.00981967,0.107598,0.09806,0.991787,0.987942,0.990406
0.00988899,0.107669,0.0979917,0.998788,0.988596,0.989716
0.00992354,0.107621,0.0980758,1.00228,0.988158,0.990566
0.00989917,0.107649,0.0980835,0.999817,0.988417,0.990643
0.00987522,0.107636,0.0979919,0.997397,0.988292,0.989718
0.00989263,0.107729,0.098033,0.999156,0.989147,0.990133
0.00986912,0.107788,0.0980083,0.996781,0.98969,0.989884
0.00982985,0.107838,0.098105,0.992815,0.99015,0.99086
0.00983121,0.107783,0.0980802,0.992953,0.989647,0.99061
0.00979287,0.107841,0.0980875,0.98908,0.990173,0.990683
0.00978663,0.107842,0.0981261,0.98845,0.990185,0.991074
0.00977267,0.108007,0.0982345,0.98704,0.991702,0.992169
0.00978994,0.107953,0.0982249,0.988784,0.991204,0.992072
0.00978386,0.107984,0.0983078,0.98817,0.991489,0.992909
0.00976261,0.108038,0.0983284,0.986024,0.991981,0.993117
0.00973411,0.107924,0.0983335,0.983145,0.990935,0.993168
0.00971356,0.107977,0.0983385,0.981069,0.991424,0.993219
0.00972315,0.107947,0.0983956,0.982039,0.991151,0.993796
0.00974002,0.10794,0.0985853,0.983742,0.991087,0.995711
0.00971252,0.107985,0.0986472,0.980965,0.991496,0.996336
0.00970002,0.108145,0.0987227,0.979702,0.992971,0.997099
0.00967321,0.108137,0.0986523,0.976994,0.992895,0.996388
0.00968995,0.108172,0.0986044,0.978685,0.993216,0.995905
0.00970645,0.108199,0.0986644,0.980351,0.993467,0.99651
